name,parent_id,owner,added,sequencenr,description
"root",,1,now(),1,"Root Folder"
"Calitatea vietii",1,1,now(),1,"Calitatea vietii"
"Diagnoza calitatii vietii",2,1,now(),1,"Diagnoza calitatii vietii"
"Ancheta serviciilor publice",1,1,now(),1,"Ancheta serviciilor publice"
"Sondaje de opinie",1,1,now(),1,"Sondaje de opinie"
"Minoritati",1,1,now(),1,"Minoritati"
"Munca si lipsa ei",1,1,now(),1,"Munca si somaj"
"Ocupatii in afara muncii",1,1,now(),1,"Ocupatii in afara muncii"
