Name,Description
'acces public', 'Acces liber la seturile de date pentru toata lumea indiferent ca sunt utilizatori academici sau neacademici. In aceasta categorie vor intra seturile de date total publice asupra carora proprietarii datelor nu au impus nici un fel de restrictii.'
'acces liber fara acordul proprietarului studiului','Acces liber la seturile de date pentru utilizatorii din domeniul academic (categoria I); acestia nu sunt supusi altor costuri decat celor legate de mediul de stocare prin care se trimite setul de date (ex. CD); RODA este libera sa distribuie seturile de date fara a cere acordul proprietarului.'
'acces liber dupa acordul proprietarului studiului', 'Acces la date conditionat de acordul scris al proprietarului prin care acesta se implica in activitatea de control asupra accesului la setul de date luand decizia finala in ceea ce priveste accesul unei persoane sau alteia la setul de date.'
'acces contra cost dupa acordul proprietarului studiului', 'Acces restrictionat de proprietar pe baza unui contract de confidentialitate - setul de date fiind disponibil numai in masura in care utilizatorul va plati o anumita suma de bani specificata de proprietar.'
