Name
Longitudinal
Longitudinal: Cohort/EventBased
Longitudinal: Trend/Repeated cross-section
Longitudinal: Panel
Longitudinal: Panel:Continuous
Longitudinal: Panel:Interval
Time Series
Time Series: Continuous
Time Series: Discrete
Cross-section
Cross-section ad-hoc follow-up
Other
