Name
no sampling (total universe)
quota sample
simple random sample
one-stage stratified or systematic random sample
one-stage cluster sample
multi-stage stratified random sample
quasi-random (e.g. random walk) sample
purposive selection/case studies
volunteer sample
convenience sample
