Id,Name
1,no sampling (total universe)
2,quota sample
3,simple random sample
4,one-stage stratified or systematic random sample
5,one-stage cluster sample
6,multi-stage stratified random sample
7,quasi-random (e.g. random walk) sample
8,purposive selection/case studies
9,volunteer sample
10,convenience sample
