Id,Name
1,Longitudinal
2,Longitudinal.CohortEventBased
3,Longitudinal.TrendRepeatedCrossSection
4,Longitudinal.Panel
5,Longitudinal.Panel.Continuous
6,Longitudinal.Panel.Interval
7,TimeSeries
8,TimeSeries.Continuous
9,TimeSeries.Discrete
10,CrossSection
11,CrossSectionAdHocFollowUp
12,Other
